Sentence,English_Translation,prefix
"@kamaalrkhan Han bhai, chori ki aadat ek bar pad jaye to aasani se jati nahi.","@kamaalrkhan yes brother, once you get addicted to chicks, it's not easy to let go.",translate English to Hinglish: 
@Ra_Biesaadha desh to hamare yahan shift hokar hamari roti kha raha hai,@Ra_Biesaadha your country has shifted here and is eating our food.,translate English to Hinglish: 
@ruchikokcha Nahi yaar.. Iss baar nahi liya :( @HathwalaThakur @TheShopoholic,@ruchikokcha no dude. didn't take this time. @HathwalaThakur @TheShopoholic,translate English to Hinglish: 
@BolshoyBooze ab @aanchalator ke bachhon ka naamkaran hoga :-D,@BolshoyBooze now @aanchalator children will have naming ,translate English to Hinglish: 
"@kkundra @kritika_kamra ajeeb h , kata tha nail aur pain ho rha h finger mei .. ' Mai pareshan .. pareshan .. pareshan ' Well Gud Mrng :) eee smile : *","@kkundra @kritika_kamra strange thing , i cut my nails but my fingers are paining .. ' i am annoyed .. annoyed .. annoyed ' well good morning :) smile : *",translate English to Hinglish: 
@ravi_gee Abhi toh party shuru hui hai :P,@ravi_gee the party has started just now,translate English to Hinglish: 
Nahi to apna bhai pata hi leta https://twitter.com/DefucktiveHumor/status/738984247017361408 …,our brother will make her his girlfriend https://twitter.com/DefucktiveHumor/status/738984247017361408 …,translate English to Hinglish: 
mene phle bhi bola tha . . . ye guddu bigadtaa ja raha hai . . . samjhao koi ese . . ! ! !,i have told you before too . guddu is becoming naughty. someone please make him understand.,translate English to Hinglish: 
She : Bhaiyya mujhe Chandi colour ka dress chahiyeShopkeeper : Accha to tumhe Silver kameez chahiye ?,She :  i want chandi colour dress Shopkeeper : oh so you want silver collar  ?,translate English to Hinglish: 
"NaMo-mere paas sarkar hai , pin stripe suit hai , india ke development ke plans hai . Tere paas kya hai ? RaGa : mere paas holiday hai #WhereIsRahul","namo - i have a government, a pin striped suit, india's development plans. what do you have raag: i have a holiday #WhereIsRahul",translate English to Hinglish: 
@NavenduSingh_ Woh to tujhe bhaav bhi nahi deti.  Teri ab tak jal rahi hai.. LOL,@NavenduSingh_ she doesn't give you attention. you are still jalous. laughing out loud.,translate English to Hinglish: 
"TL dekh kar itni khushi kabhi nahi hui, jo iss saal horahi hai. 
#JaagoMard","I was never as happy as this year, watching timeline.",translate English to Hinglish: 
"egypt's morsi gets red carpet welcome in iran: tehran ,  aug 29: egypt's mohamed morsi is in iran for the first visit .  .  .  http/URL","egypt's morsi gets red carpet welcome in iran: tehran,  aug 29: egypt's mohamed morsi is in iran for the first visit. http/URL",translate English to Hinglish: 
Abhi bi is desh m Deshbhakt Majority m h .....,there are still patriots in this country,translate English to Hinglish: 
.@Paid_Journalist saawan ke andhe ko har taraf hariyali nazar aati hai bhai,.@Paid_Journalist  blind of spring can see greenery everywhere around,translate English to Hinglish: 
guduu ka jugad to hmesa fit ho jata .  .  . sare kam kr aya,"guddu's workarounds always fit, he did all the work.",translate English to Hinglish: 
"supw ka period was fun- all kv students know it ,right kvians .head down karke baithe raho .","supw ka period was fun- all kv students know it ,right kvians .head down karke baithe raho .",translate English to Hinglish: 
yeh salman khan ki purani aadat hai.... late aana :p,this is bad habit of salmaan khan.... he comes late,translate English to Hinglish: 
last semi finals mein mere dad same bahane se saara aam papad kha gaye . . aam papad is good luck for team :p,"in the last semi finals, my dad ate all the mango papad due to the same reason. aam papad is like a good luck for the team.",translate English to Hinglish: 
@iamGunjanGrunge Bhai jo tu pyaar se khilaaye,"@iamGunjanGrunge brother, if you feed me with love",translate English to Hinglish: 
@Atheist_Krishna chi chi chi ashleel launda,@Atheist_Krishna dirty guy,translate English to Hinglish: 
iska throw main kholunga hahaha too good ,-),translate English to Hinglish: 
@Choti_Daku kaam par jao yaar,@Choti_Daku go for work friend,translate English to Hinglish: 
@TheVacuumHead same here :'( logon ke bartan ghis ghis kar mere haath lohe ke hogaye hai. Let's freelance.,@TheVacuumHead same here: Washing people's dishes have made my hands iron. Let's freelance.,translate English to Hinglish: 
tumne maatrubhasha mein bol diya na bas. ab kal se sab chupchap kaam par jayenge.,"you did speak in the mother tongue. now tomorrow onwards, everyone will go to work quietly.",translate English to Hinglish: 
"@BolshoyBooze mana raha hu bhabhi ko tere, nahi man rahi :'(",@ Bolshoybuze I feel like my sister is not agreeing with you: '(,translate English to Hinglish: 
@IamMansoorKhan ye bhi accha hai Ã°Å¸ËœÂ ONE MONTH FOR FAN,"@IamMansoorKhan this is also nice, one month for fan",translate English to Hinglish: 
Stage loot liya bhai @Varun_dvn,He won all heart on stage @Varun_dvn,translate English to Hinglish: 
"Tujh mein rab dikhta hai, yaara main kya karoonpic.twitter.com/sTI3w1I7Ry","i can see god in you, what should I do! pic.twitter.com/sTI3w1I7Ry",translate English to Hinglish: 
Jhonka hawa ka aaj bhi chhup ke hilaata hoga na #Samir #HawaKaJhonka #BeingSalmanKhan,today also wind blow moves  #Samir #HawaKaJhonka #BeingSalmanKhan,translate English to Hinglish: 
eiske bs ka nhi #bigboss ! ! ! :p,he is not enough for #bigboss!!,translate English to Hinglish: 
@intrinsiclutter Not joking sach much taras aata hai,@intrinsiclutter not joking really makes me crave,translate English to Hinglish: 
"Vimal paan masala, daane daane mein kesar ka swad, aur daanto daanto ko kesar ka rang","vimal paan masala, taste of saffron in every grain, and color of saffron on each teeth.",translate English to Hinglish: 
Kb bjenge tumhare 4 salman ? ??,When will your 4 Salman play? ??,translate English to Hinglish: 
"Matlab khud maro phir, dusron ki kyu maarte ho?https://twitter.com/DailyYeats/status/691365373321568258 …","first you die, then you also affect other people?https://twitter.com/DailyYeats/status/691365373321568258 …",translate English to Hinglish: 
ok mere saath phn pe baat e karenge?ya whats app pe?boliye jaldi...,Okay will you talk to me on the phone or on whatsapp? say quickly.,translate English to Hinglish: 
"RT @natashajain6 : #AAPkaCM @ArvindKejriwal @DrKumarVishwas Wo ( @AamAadmiParty ) kal bhi dil ke paas the , Wo aaj bhi kareb hai ... Bharat Mata","Rat @NatshaJayan6: #Apcam @ArvindKejriwal @Darkumarvasti He (@AmAadmiParty) was still near the heart yesterday, he is still close to. hail mother India",translate English to Hinglish: 
Akademi awards lautaane walon se Chetan Bhagat behtar. Kam se kam log uski 3-4 books ka naam to jante hi honge.,Chetan Bhagat is better than those returning Academy Awards. At least people will know the name of his 3-4 books.,translate English to Hinglish: 
"@someUSER nov 1st facebook ,  sean ryan put plarium on the board as no .  1 social game in q4 ,  i can send you links to his interview","@someUSER november 1st facebook,  sean ryan put plarium on the board as number 1 social game in quarter 4,  i can send you links to his interview",translate English to Hinglish: 
"Company HRs be like.. 
Naam? 
Gotra? 
Your occupation in last life?
Kundali dikhao. 
Tumhare upar shani bhaari hai. 7 saal baad aao.",company’s human relationmanagers be like…name? clan? your occupation in last life? Show your horoscope? saturn is heavy on you. come after 7 years,translate English to Hinglish: 
Rajesh ne hamesha Vivek se kaam liya.,rajesh always acted with discretion.,translate English to Hinglish: 
kejari the most stupid person of india .  bhagoda and liar are the suitable labels for kejari .,kejari the most stupid person of india .  coward and liar are the suitable labels for kejari .,translate English to Hinglish: 
Jihad is like a Salman Khan movie. Jisko samjhi uski nikal padi.,jihad is like a salman khan movie. the one who understands gets high.,translate English to Hinglish: 
@Atheist_Krishna iske liye to @iamGunjanGrunge pakistani ban jaaye ,) @iRabbiaa,translate English to Hinglish: 
@Kaminapun Toh mai kab mana kiya? :),@Kaminapun when did i denied about it,translate English to Hinglish: 
RT @namratavy : @lifelovesuma intezaar ka phal is sweet .. gangaa ke hot dreams se Accha hoga real romance ðŸ˜ðŸ˜ðŸ˜ðŸ˜,rt @namratavy : @lifelovesuma fruit of wait is sweet .. real romance will be better than hot dreams of ganga,translate English to Hinglish: 
@BolshoyBooze haha! Hota hai ye sab. Statutory warning de dene ka saaf safai kar ke hi soyenge sab!,@BolshoyBooze haha! This happens. Giave a statutory warning and evryone will sleep ony after cleaning.,translate English to Hinglish: 
@PushprajZala @DefucktiveHumor kuch pata nahi chala yaha kya ho gaya,@PushprajZala @DefucktiveHumor we didn't understood what happened here,translate English to Hinglish: 
ghost rider 2's a bad movie compared to the 1st .,ghost rider 2's a bad movie compared to the 1st .,translate English to Hinglish: 
Jarut karenge awashya karenge ....aapke fan jo hai..,Will do it definitely .... Your fans are there,translate English to Hinglish: 
@SRKsDrishh ha ha .... theater mein hin dekhna chahiye tha na ...,@SRKsDrishh ha ha. you shoud have watched it in theater.,translate English to Hinglish: 
zyada ni ho gaya yar ye  .  ?  ?  .  .  .  but thanks ab ye padhke neend toh aa gyi  .  :d ,),translate English to Hinglish: 
Sir @BarackObama Dominos ka pizza mangwa lo dinner me.. Aajkal small me bhi cheeze burst aa raha hai..,"Sir @BarackObama Order Dominos Pizza for the dinner, these days cheese burst comes in small size as well.",translate English to Hinglish: 
Bhaijaan parso gaaliyan kha ke dil nahi bhara?https://twitter.com/aqeel3550/status/766881696943931392Â â€¦,"brother, weren’t you content by day before yesterday’s curse words?https://twitter.com/aqeel3550/status/766881696943931392",translate English to Hinglish: 
JUG soona soona laage - Sonam Kapoor,sonam kappor feels like the entire world has no one ,translate English to Hinglish: 
Madam @LambaAlka pados ke ek dukandar se meri thodi kahasuni ho gayi hai. tod-fod karne mein kuchh help mil sakti hai kya?,madam @lambaalka i had a verbal fight with a neighbouring shopkeeper. can i get some help in breaking a few things?,translate English to Hinglish: 
"RT @SameerAllana : @avinaSHarma10 you forgot Nehra , Sreesanth and Chawla :(","retweet @SameerAllana : @avinaSHarma10 you forgot nehra, sreesanth and chawla",translate English to Hinglish: 
LALA NE MATCH JITA DIYA . \o/ oh sorry .. Pepsi ka ad tha . #IndvsPak #CWC15,lala made us win the match oh sorry it was advertisement of pepsi. #IndvsPak #CWC15,translate English to Hinglish: 
@TinaSharmaT Yeh #IPL9 match mein maza nahi aa rah hai just boring,"@TinaSharma This IPL9 match is not enjoyable, it is just boring.",translate English to Hinglish: 
@pillya @happlyunmarried satya vachhan!,@pillya @happlyunmarried satya vachhan!,translate English to Hinglish: 
Bhai ap nai ayenge tab-tak natural call bhi accept nai karunga??,i won't accept even natural calls until you don't come.,translate English to Hinglish: 
"was ready to tune in and watch my thursday night comedy on channel 4 and then the tv guide tells me  "" the voice ""  is on .  .  . dammit .","was ready to tune in and watch my thursday night comedy on channel 4 and then the tv guide tells me  "" the voice ""  is on .  dammit .",translate English to Hinglish: 
Kii baat nahi sir #Modibaters ke liye burnol #GST ke baat aur affordable ho gaya hai,its okay sir for #Modibaters burnol will get affordable after #GST.,translate English to Hinglish: 
@imVkohli Suresh Raina or Sikhar Dhawan ko samjhao ki ye t20world cup hai test match nahi .... Sab virat ke upar hath dho kar para hua hai .,"@imVkohli explain to suresh raina and shikhar dhawan that this is t20 world cup, not test match. Everyone is after virat kohli",translate English to Hinglish: 
RT if you've enjoyed Farali Bafvada & sabudana Khichdi #MahaShivratri,Rat if you''ve anjoyed furli buffwara & sago khichdi #mashivratri,translate English to Hinglish: 
"aur fir us din ,  uncleji aur guddu ko khaana naseeb nai hua :3",and on that day uncle and guddu got no food.,translate English to Hinglish: 
@CuteMaliniYadav @EkNayiLeague @therealkapildev #EkNayiLeague is a new league jo dil se nahi dimag se kheli jaati hai,"@CuteMaliniYadav @EkNayiLeague @therealkapildev #EkNayiLeague is a new league which is played by mind, not by heart",translate English to Hinglish: 
Dil To Pagal hai jaisi ghatiya movies ke liye bhi aap paise lete ho ya free me karte ho ? #AskSrk @iamsrk,do you take money for bad movies like dil hai pagal hai or you do it for free? #AskSrk @iamsrk,translate English to Hinglish: 
watching the 2nd punisher .  wish they'd make another one with quentin tarentino directing and thomas jane as castle,watching the second punisher. wish they had made another one with quentin tarantino directing and thomas jane as castle,translate English to Hinglish: 
@Blahs_famous aaj blue hai pani pani pani pani,@Blahs_famous today the water is blue.,translate English to Hinglish: 
"Katrina Bhabhi chale gayi an Ranbir ke paas, tumhara Bhai virgin hi rahega, Karan Johar se dosti kar leni chahiye usne.","sister-in-law  katrina went to ranbir, your brother will remain a virgin, should become friend with karan johar.",translate English to Hinglish: 
@TheSepticHermit nautannki bandh karo! :-*,@TheSepticHermit shut the drama.,translate English to Hinglish: 
Toh Barkha ko khila bewakoof ... Spin ki masterni hai https://t.co/i58wDjo0H5,then feed barkha idiot... she is master at spin https://t.co/i58wDjo0H5,translate English to Hinglish: 
"Shoaib Akhtar: ""28 run dekhiye Dhoni ke aayein hain taang ke niche""

Bhai run ki baat kar rahe ho ya moot ki",shoaib akhtar see how dhoni has scoreed 28 runs in your prescencem. my dear are you talking about runs or urine ,translate English to Hinglish: 
@Lambar_Daar aur to aur money pe interest bhi milta hai ,),translate English to Hinglish: 
Kuttey ki to kismat haihttps://twitter.com/iKunaal/status/699562516662214657Â â€¦,Even the dog has a luck factor. https://twitter.com/iKunaal/status/699562516662214657Â â€¦,translate English to Hinglish: 
@_SandSurfer bhai Gujarat me baaris ho rahi hai @PJ_CRACKER,@_SandSurfer its raining in gujarat @PJ_CRACKER,translate English to Hinglish: 
Waheeda Rehman is so cute in Ram Aur Shyam(1967) ! ðŸ˜,waheeda rehman is so cute in ram aur shyam (1967),translate English to Hinglish: 
RT @SRKswarrior1 : Arre yaar Dhoni 59 ball mein out hogaya Akkian - accha hua ! 59 ball mein 29 run banaayeAgar 106 ball khelta to sirf 16-Ã¢â‚¬Â¦,"RT @SRKswarrior1 : Dhoni got out after playing 59 balls! good ! he made 29 runs in 59 balls. if he would have played 106 balls, then  he would have made 16 runs.",translate English to Hinglish: 
Rahul Bhat Aap ho confessor ! :P,Rahul Bhat you are confessor! :P,translate English to Hinglish: 
@Shahrcasm haha.. Ye tumhare karmo ki saza hai,@Shahrcasm haha.. this is the result of you own doings,translate English to Hinglish: 
"Jab Mihir aur Tulsi Virani ke lafde chal rahe the, tab kahan the tumhare aansoo?
 #Brangelina","where were your tears when Mihir and Tulsi Virani were having problems?
 #Brangelina",translate English to Hinglish: 
"lol, ye toh poora kala hai bhai","lol, he is all black",translate English to Hinglish: 
utna bhi kuch nahi karna hai yaar. :P,it is not required to do so much. ,translate English to Hinglish: 
"To whoever posted this , we got your message , PM us . Back around 1999 , we have many swimmers in common . ~ Ed","To whoever posted this , we got your message , send a personal message to us . Back around 1999 , we have many swimmers in common .",translate English to Hinglish: 
"@mariam_tahir5 light nahi he ab bus aona name change kr k "" ROSHAN "" rakh leta hn .","@mariam_tahir5 is not  lights, now just change the name to be roshan.",translate English to Hinglish: 
@BabaFirki :D waah bada khush lag raha hai. Aisa kya hogaya? bataa,@BabaFirki :D he was looking so happy over there. what was the reason? tell,translate English to Hinglish: 
@Priya_Menon Lagta hai chai thodi zyaada strong ban gayi @oothikicha,@Priya_Menon It seems like tea made is strong flavoured @oothikicha,translate English to Hinglish: 
@indiantweeter Thanks Bhai :),@indiantweeter Thanks brother ,translate English to Hinglish: 
@TheHungryCrow unki zindagi hi kharab hai,@TheHungryCrow their life itself is bad,translate English to Hinglish: 
best kejriwal- zinda bad kejriwal_ pakistani salman khan,best kejriwal- long live kejriwal_ pakistani salman khan,translate English to Hinglish: 
Rahane ko hi captain bana do yaar.,Let's make Rahane only the captain.,translate English to Hinglish: 
Kamaal ki baat hai naa ... Jo log JNU ki dustbin se condom dhundh ke laa skte hai 0 Woh Najeeb ko nhi dhundh paa rahe. #najeebahmed #jnu,It is astonishing ... People who can  retrieve condom from JNU dustbin are not able to find Najeeb. #najeebahmed #jnu,translate English to Hinglish: 
RT @rajivmishra : #RailBudget2015 @narendramodi @RailMinIndia kaamchori /mismanagement/nonsensical rules / babugiri all this sums up as IND,"retweet @rajivmishra : #RailBudget2015 @narendramodi @RailMinIndia laziness, mismanagement, nonsensical rules and babuism, all this sums up as india.",translate English to Hinglish: 
@Miss_Ankiita bohot zyada hai.  50K me Mumbai me ek se ek models mil jaegi,@Miss_Ankiita it is too much. we can find better models in mumbai for fifty thousand,translate English to Hinglish: 
@BloodyKamina Tu real estate agent lag raha hai mujhe ,),translate English to Hinglish: 
"@ruchikokcha waah, kya soch hai. parnaam","@ruchikokcha wow, what great thoughts, salute",translate English to Hinglish: 
"bina baat chhekhti chillati hai, content kuchh khas nahi","screams and shouts without any meaning, content is nothing special",translate English to Hinglish: 
Aaj Cato ne kitne kaate ??,how many did cato cut today ??,translate English to Hinglish: 
"hii frnds yeh mera page hai  , aap sab is page ko dil se ek like kardo ,  jo v like karega main use add kar lungi .  .  . ","hi friends, this is my page. like this page with your heart. anyone who likes this page, i will add them",translate English to Hinglish: 
Moscow needs judicial guarantees US missile system in Asia does not target Russia FM https://t.co/a8giQPXLzQ,moscow needs judicial guarantees us missile system in asia does not target russia fm,translate English to Hinglish: 
"When I was 1 year old My parents took me to watch Sanam Bewafa , this was my first film in cinema hall ( Kuch bhi ... https://t.co/MVd1qcKwRp","when i was one year old my parents took me to watch Sanam bewafa , this was my first film in cinema hall . anything https://t.co/MVd1qcKwRp",translate English to Hinglish: 
#Trump se le kar Vin Diesel tak sab chahete hai ki #MandirWahinBanayenge #YogiRocks,From #Trump to Vin Diesel everyone wants #MandirWahinBanayenge #YogiRocks,translate English to Hinglish: 
Amazon apni dukan hai fir bhi kuch lene ke liye paise dene padte hai. wtf.,"Amazon has its own shop, yet has to pay to get something. Wt.",translate English to Hinglish: 
aur faayde me rahe apne lunchar paaji .  .  chips ka packet mil gaya :p :d,and luncher sir was benefited. pack of chips was found: W: D,translate English to Hinglish: 
baaju waali class k saamne se aisi shaan se guzarte the jaise andar waale kaidi aur hum angrezo k jamaane k jailer  .  .  .,we used to pass by the neighbouring class with such pride as if the insiders were prisoners and we were jailers of english era,translate English to Hinglish: 
@Dishasatra @premlata_rai @MeetUunngLee darna mujhe kyu hai? Tera dimaag chale ya na chale,@Dishasatra @premlata_rai @MeetUunngLee why would i fear? your brain runs or not,translate English to Hinglish: 
almost sabhi #MPs ko malum tha ki #NoteBandi hogi lekin #public ko pta nhi tha to kaise kahe hum aazad hai ?,almost every #MPs knows #NoteBandi will happen #public doesn't know how can we say we are free ?,translate English to Hinglish: 
"Hagne bhi do yaaron
 #SukhSehttps://twitter.com/UberFacts/status/846780695448031232 …","let me take a shit
 #SukhSehttps://twitter.com/UberFacts/status/846780695448031232 …",translate English to Hinglish: 
" Sharmaji, doobti naiyya mein chadh kar chaiyya chaiyya na karo.","sharmaji, don't dance on a sinking boat.",translate English to Hinglish: 
@MeetUunngLee pagal aurat hai,@MeetUunngLee she is a crazy lady.,translate English to Hinglish: 
"Jaijinendra , 07412-235423 DT 28-2-2016 se band hai Pl chalu karva deve him bahut pareshan hai No "" 9406636779 Thanks #RaviShankarPrasad","jaijinendra, 07412-235423 dt is closed from 28-2-2016 please open it , he is very upset no -9406636779 thanks #RaviShankarPrasad ",translate English to Hinglish: 
@someUSER me and katie are busy after school we have to go to playtoes and stuff .  but saturday morning .  lets do it !  then beach,"@someUSER me and katie are busy after school we have to go to playtoes and have some stuff to do .  but saturday morning , lets do it !  then let's go the beach.",translate English to Hinglish: 
@someUSER bin- kejariwalji ke free wifi ka wait kar rahe the kya itne dino se ......,),translate English to Hinglish: 
@QandeelQuebee Baloch ji Strip Dance Nhi To Kam Se Kam Koi Rone Wali Video Hi Upload Kardo Bahut Ummeed Tha Aapse ðŸ˜‚ðŸ˜‚ðŸ˜‚ #IndvsPak,"@QandeelQuebee  baloch atleast upload a sad video if not a strip dance , I had lot of hopes from you #IndvsPak",translate English to Hinglish: 
@patelinside @Sammypedia Yeh pun to Raavan ke zamaaney ka hai. :D,@patelinside @Sammypedia this pun is from the times of Ravana :D,translate English to Hinglish: 
i am a dudda and i'll leave at 21,i am a dude and i'll leave at 21,translate English to Hinglish: 
sallu bhaijan.pls aa jo ab,"sallu brother, please come now.",translate English to Hinglish: 
contra was added lately in this .  .  .  .  phir samajh aya tha ki laundo ko ullu bana rahe hain .  .,contra was added lately in this .  .  .  .  then i got to know that they made us fools .,translate English to Hinglish: 
"1970s ki baat kar rahe hai, auto lock kahan tha? ",i am talking about 1970s there was no auto lock,translate English to Hinglish: 
"*obama calls modi...*
""is hello tune ko copy karne ke liye star aur 9 dabayein... shulkk laa...""","* obama calls modi ... *"""" press the star and 9 to copy this hello tune ... chark la ... """"",translate English to Hinglish: 
