sentence,english_translation
Someone probably saw Salman and said: Yeh bechara kaam ke bhoj ka mara. Issay chahiye Chinkara.,Somebody Probably Saw Salman and Sand: This poor under the burden of work. He needs chinkara.
Hmm . Itna late bhaiiðŸ˜³,why have you come too late brothers ?
"Haryana me to sabhi Tau hain, according Viru paji.https://twitter.com/virendersehwag/status/635082953962295296Â â€¦",everyone thinks high of themselves in haryana according to viru https://twitter.com/virendersehwag/status/635082953962295296
haan sirf chashma chadhana hai Rafi pe :D,wearing spectacles is the only thing left for rafi 
"Raj Thackeray: Pay Rs.5 crores

Karan Johar:  Kabhi ye humse ladta hai kabhi jhagadta hai, koi paas iske na aana, ye ladka hai deewana.","raj thackeray: pay rs.5 crores karan johar: sometimes he fights with us, sometimes he quarrels, no one comes near him, this boy is crazy."
Matlab iss baar jail jaake hi maanoge?,"So, you will not accept without going to jail this time?"
Kyun chalti hai Pawan? Kyu peeta hai Gagan? Kyu haklata hai Chhagan? Na tum jaano na hum.,why does the wind move? why does we water drink? why does the idiot stutter? neither you know nor we
#virat kholi .. please announce your retirement .. please .. enjoy with anuskha,"#virat kholi, please announce your retirement. please, enjoy with anuskha."
paise dad ke jeb se hi nikley  !,money were found in father's pocket only.
agar izzat nahi rahi to ucchalo bhi mat yaar ( y ),"i there is no respect left, then don't even do it dude"
@Lambar_Daar same pinch bhai.. Abhi dost ko phone lagaya hai..akela rehta hai woh.. Lunch time ke baad uske ghar jaakar dekhunga..with beer,@Lambar_Daar same pich brother. i just called my friend. he lives alone. i would go to his home after lunch time to watch it with beer.
"@melotus achha Sanskrit bhi aati hai tumko, waah",@melotus it's nice that you know sanskrit
"""Aae tu to chala gaya.. Us gadhe ko mere liye chhod gaya.."" #RememberingRajivpic.twitter.com/feHaIwlqK5",you went away and left that donkey for me #RememberingRajivpic.twitter.com/feHaIwlqK5
Sun le bhai @ArvindKejriwalhttps://twitter.com/airnewsalerts/status/800291704230117376 …,listen brother @ArvindKejriwalhttps://twitter.com/airnewsalerts/status/800291704230117376 …
Aise mat karo yaar...plzzz,don't do this... please
bevkoof ladke ye confession page hai  .  .  .  .  .  autobiography nhi likhni hai yaha  .  .  .,"This is confession page, stupid boy. You are not supposed to write autobiography here."
"<May 14: He just keeps on talking_x000D_
May 14 - Nov 16: He must talk more often_x000D_
Nov 16> Mat bol bhai tu bolta hai to surgical strike ho jata hai","May 14: He just keeps on talking_x000D_
May 14 - Nov 16: He must talk more often_x000D_
Nov 16 : you do not speak. If you speak surgical strike happens"
"Aunty mujhe itna achha pehle kisine nahi bola, brilliant jaise words kabhi nahi use kiya ILU ;'( *aansoo*","aunty no one said such good things about me before, no one ever used words like brilliant for me, i love you."
Kuch fork nahi padtahttps://twitter.com/shrustyle/status/632882660721868800 …,no one cares. https://twitter.com/shrustyle/status/632882660721868800 …
@Alllahdin @MeetUunngLee haa ganduwo padh raha hu main,@Alllahdin @MeetUunngLee yes moron i am reading that
@PagluPiggu haha.. unse kehdo jaa kar pogo dekhe,@PagluPiggu haha. tell him to go and watch pogo.
@HaatimTau Haan yahi!,@HaatimTau yes this!
"Pakistan to world cup se bahar ho gaya, ab gaali kisko denge? :(",pakistan is out of the world cup now ? whom are we going to abuse now?
@Lagharvaghar raat ko kiya tha isiliye kar diya,"@Lagharvaghar i had done it in the night, that why i did it."
"@msisodia @ArvindKejriwal aap to na bolo to hi thik ""h nirbhaya case wale ko silai machine nd 10k rs apke kejriwal ne hi diye the",@msisodia @ArvindKejriwal its better if you don't talk. the person who gave nirbhaya case criminal a sewing machine and 10000 rupees was none other than your kejriwal
yeh salman khan ki purani aadat hai.... late aana :p,this is bad habit of salmaan khan.... he comes late
@Atheist_Krishna @HathwalaThakur  kaun shaadi kar raha hai uske saath?!,@Atheist_Krishna @HathwalaThakur  who is marrying him?!
Ek #SurgicalStrike un Aunties ki bhi honi chahiye jo mere ghar pe aakar kahti hai Apka chora waha #Cigarette pi raha tha ...,"one #SurgicalStrike should also be done by those aunties who come to my home and tell, ""your kid was smoking a #Cigarette there"
Namaste Bhai jaan . aap sirf bhai jaan hi nahi aap to hum sab ka jaan hey . aur mera Bhagwan hay sir . Jay Bajrang Bali ..........,"Namaste Bhai jaan . you are not only our bhai jaan but also our life. And you are my god, sir. Jay Bajrang Bali."
@Sidddhhii itna favorite mat kiya karo pyar hojayega,"@Sidddhhii don't favorite me so many times, or you'll love me."
Aaj tumhe bhi ek mukka padegapic.twitter.com/pSLERHXHbe,today you will also get punched pic.twitter.com/pSLERHXHbe
@Integrated_me chalo koi to hai mere saath,@Integrated_me atleast someone is with me.
Haro toh ESA haro ki haar mai bhi jeet ho #PVSindhu #Champiom,"even if you lose, lose in such a way that you have a victory in that defeat #PVSindhu #Champiom"
"@EkDoctor dil ki hai ye sachi pukar, #BadliyeSarkarBadliyeBihar","@Doctor, this is the true call of the heart,"
@IamMansoorKhan ye bhi accha hai Ã°Å¸ËœÂ ONE MONTH FOR FAN,"@IamMansoorKhan this is also nice, one month for fan"
Stage loot liya bhai @Varun_dvn,He won all heart on stage @Varun_dvn
"Rahul Gandhi in Uttarkhand for "" Camping Chintan "" .. :P #WhereIsRahul","Rahul Gandhi in Uttarkhand for "" Camping Chintan ""  #WhereIsRahul"
@noorikhan119 NNR accha hona chahiye with 2 wins . india 4 th position par hai ..,"@noorikhan119 nnr must be good. with 2 wins, india is at fourth position"
india ko world cup main harana mushkil hi nahi naamumkin hai . . .,"it's not hard to defeat india in worldcup, it's impossible"
tu hot hai. @drpoonam hai na? @akshaykanitkar hai na?,you are hot. is it @drpoonam? is it @akshaykanitkar?
Pak General se relationship hone se maze kar rhi #Mariyam _ Sarif,#Mariyam_Sarif is enjoying because of relationship with pak general
"Lol, ye hota hai!",what is the meaning of lol?
Aaj RW sabko dhoyega. BJP ne paheli bar koi accha kaam kiya hai.,today right wing will roast everyone. bharatiya janta party has done some good work for the first time.
Rahul Gandhi is rich man's Tejaswi Yadav.,rahul gandhi is a rich man: Tejaswi Yadav
@someUSER again it was a thurs watching nadal game and tried to type ffs .  .  .,@someUSER again it was a thursday and i was watching nadal playing and tried to type ffs .  .  .
ab mai wait kar raha hu ki wo chota sa farmer ( vadra ) kab sucide karega :/,now i am waiting for that farmer (vdra) to commit suicide: /
bhai @Atheist_Krishna iss @SarcastiCharm launde me dum hai pic.twitter.com/MJFLG0w39r,"brother @Atheist_Krishna, this @SarcastiCharm is a tough guy pic.twitter.com/MJFLG0w39r"
"Company HRs be like.. 
Naam? 
Gotra? 
Your occupation in last life?
Kundali dikhao. 
Tumhare upar shani bhaari hai. 7 saal baad aao.",company’s human relationmanagers be like…name? clan? your occupation in last life? Show your horoscope? saturn is heavy on you. come after 7 years
"Piyushbhai aka @friendlii_ghost , bowed to Amitabh bachchan. Gujarati sanskar. #EkDinToGujaroGujaratMein","piyushbhai aka @friendlii_ghost , bowed to amitabh bachchan. gujarati rites. #EkDinToGujaroGujaratMein"
#RailBudget2015 hope it is for d development and for AAM AADMI ... #PrabhuKiRail Prabhu ki kripa :),#RailBudget2015 hope it is for the development and for the common man. #PrabhuKiRail god's grace.
@newton3G Aaj @Ra_Bies Sir meri keh ke le rahe hai,@newton3G today @Ra_Bies Sir is really mad at me
"Rahul Gandhi:
 2011: Doraemon, Doraemon
 2012: Chota Bheem, Chota Bheem
 2013: Shin Chan, Shin Chan 
 2014: Nobita, Nobita
 2015: Farmer, Farmer","Rahul Gandhi:
 2011: Doraemon, Doraemon
 2012: Chhota Bheem, Chhota Bheem
 2013: Shin Chan, Shin Chan
 2014: Nobita, Nobita
 2015: Farmer, Farmer"
"Return gift me youtube ka link

- Dekh tere sansaar ki haalat kya ho gayee bhagwaan.. Kitna badal gaya insaan","return gift me youtube ka link - look what has happened to your world god, how much humans have changed"
go india go .  jay hind,go india go .  . victory to india
Gautam Gulati kyu kha raha hai?,why is gautam gulati eating?
@RanaAyyub cricket ko hi itna change agaya .. abhi war hai agey .. bharath mata ki jai bolna practice karlo,Cricket has been changed so much. war is ahead now. Start practicing speaking hail mother India
Sir @narendramodi kya gajab kar rahe ho.. Petrol diesel ke aasmaan tak pahunch gaye hai.. Aasmaan se yaad aaya.. Plane se neeche aa jao,Sir @narendramodi kya gajab kar rahe ho.. Petrol diesel ke aasmaan tak pahunch gaye hai.. Aasmaan se yaad aaya.. Plane se neeche aa jao
@UniqueIdiot_ aaj gaaliyan barsaunga,@UniqueIdiot_ today i will make rain of abusive words
"Husbands should be like Vim bar, gale kam aur chale zyada.","Husbands should be like Vim bar, should last more"
prateek johri dialogue tere bas ki baat nahi .  .,prateek johri dialogue is not in your limits
Kahan rahega phir sar?,"Where will you live, Sir?"
"YE ISHQ KI AAG HOGI NA KAM TUM AUR HUM EK ATOM BOMB, FIRE BRIGADE MANGWA DE TU ANGAARON PAR HAI ARMAAN - DIWALI TRIBUTE #HIIMESHISGOD",the fire and ambition in our love will never stop growing. a diwali tribute #HIIMESHISGOD
this one is the good .  . nahh noo .  . better .  . sunoo .  . better se jyada wale ko kya bolte he .  . haan .  . best till now :d,this one is the good..no bro...better....listen...what do we call more better...yes..best till now
"UAE toh jhanki hai, Ayodhya Mathura Kashi baaki haihttps://twitter.com/MEAIndia/status/632958318588260352 …","visited uae, ayodhya mathura kashi is left https://twitter.com/MEAIndia/status/632958318588260352 …"
english me baat karo otherwise fine lagega ..,talk in english or you will be fined
@kinn_sm hai hadek maneh,@kinn_sm hey! what do you mean by hadek?
"Shaam savere teri yaadein aati hai, aake dil ko mere credit card spends ke yaad dilaati hai.","Your memories keeps coming from morning to evening, and reminds my heart of the credit card expenditure."
"@Stupidosaur yaar anda, tu itna ubla hua kyu hai?","@ Stupidosaur ya egg, why are you so boiled?"
Dhoni kahi gaya nahi hai. Dhoni jaise kahi jaate nahi hai. Hamare dil me rehte hai.,dhoni has not gone anywhere. people like him dont go anywhere but remain in our hearts.
Nishiddho Premer Golpo ( 2015 ) Bangla Movie Trailer Video Download http://t.co/gQ5w9H5ok2,nishiddho premer golpo ( 2015 ) bangla movie trailer video download http://t.co/gQ5w9H5ok2
"Delhi metro mein khana mana hai, hilana nahi.","eating is banned in delhi metro, masturbating isn't."
Kisne kya dabaya bhai?https://twitter.com/OfficeOfRG/status/700306502465122304?ÿƒ??,who pressed what brother?
Kahaan se aate hai yeh log? https://twitter.com/Reetesh777/status/885212308766576640 …,where do these people come from? https://twitter.com/Reetesh777/status/885212308766576640 …
"Ab toh aur bhi mehenga ho gayaa ""hoga #GST ke highest slab mein rakha hoga","Now it becomes even more expensive ""will be placed in the highest slab of #Gast"
"mangaa lo kha lo, roka kisne hai?","take a mango, eat it. who is stopping?"
@Dhoniobesessed @KohliForLife @DhonixFaithful Yesss aaj evening sab aajanaðŸ˜,"@Dhoniobesessed @KohliForLife @DhonixFaithful yes, all of you come by evening today"
Chhatarpur is far. Gurgaon aao yaar,chhatarpur is far. come to gurgaon
"Hiiiii, kya yeh dream hai?","hi, is it a dream?"
or phr match ki aisi ki tesi ho jati h  .  .  :p :p lekin mai to phr b match hi dekhta tha  .  .  exam ka kya h aate jate rahte h  .  .,then match becomes worse . but is still used to watch match. exams are like comes and goes.
.@HuffPostIndia bhai tumse achche joke to Naiduniya wale maar lete hai,".@HuffPostIndia brother, aliens jokes better than you"
@kamaalrkhan Sir aap kyu dar rahe ho. Aap to ink se bhi kaale ho.,@kamaalrkhan sir why are you scared? you are darker than the ink
"Shoaib Akhtar: ""28 run dekhiye Dhoni ke aayein hain taang ke niche""

Bhai run ki baat kar rahe ho ya moot ki",shoaib akhtar see how dhoni has scoreed 28 runs in your prescencem. my dear are you talking about runs or urine 
@Jagat___Janani lol aaj chutiye log form me hai ,)
Kuttey ki to kismat haihttps://twitter.com/iKunaal/status/699562516662214657Â â€¦,Even the dog has a luck factor. https://twitter.com/iKunaal/status/699562516662214657Â â€¦
guddu bhai captain ban jao ab tum  .  .  .  aur 2-4 ad campaign krlo,"guddu brother, you should become the captain. and start 2-4 ad campaign."
@P2makodo btw ye aunty kon hai ?,@P2makodo by the way who is this aunty?
Bhai ek kilo hapus arm ka kitna?https://twitter.com/UberFacts/status/631099512845660160 …,brother how much for 1 kg hapus mango?https://twitter.com/UberFacts/status/631099512845660160 …
#GST ab chemist bill hi nhi de rhe !! Puchho to dawa dene se bhi mana kr rhe hain!! Rule to ban jate hain.. implement nhi kr pate bas :/,"#GST Now, chemists are not giving the bill! If you ask then they are denying to give medicine also! Rules can be made easily, but implementing them is hard :/"
"@TheZoiro 
1: bhai paise udhaar de de
2: bhai bike udhaar de de
 Zoiro #YNOTCaptionThis @TheZoiro","@Thejoero
1: lend money
2: lend brother bike
 Joiro #AnnotKapathiothis @ Thejoero"
"@Ra_Bies Hello saadu saahab (senior bro in law), ki haal chaal?","hello senior,hows everything going on?"
@bawli_poonch kuch pata nahi chala,@bawli_poonch nothing is found 
Colors has a Gujarati channel. Can't wait to see Balika Vadhu in Gujarati.,colors has a gujarati channel. can't wait to see balika vadhu in gujarati.
@humistry @shutUpPlis ohhh samee hii hoiee na phirr to life,@humistry @shutUpPlis ohhh then life is same
koi baat nhi yaar vaise bhi parents k paise jaane hi the ab tuition nahi toh shoppng hi sahi  .  .  .  .  .  :-),"no worries,  anyways parent's money would have been spent if not in tuition then shopping it is."
@Gott_Partikel kripaya gif bhej ke vodafobe customers ki beizzati na kare,@Gott_Partikel please do not insult vodafone customers by sending a gif
2 peg ke baad aisa har jagah hota haihttps://twitter.com/ANINewsUP/status/831787952032333824 …,"after 2 pegs, this happens everywhere.https://twitter.com/ANINewsUP/status/831787952032333824"
@ChickenBiryanii Thanks bhai biryani,@ChickenBiryanii thanks brother biryani.
ohhh that is bad....god knows where our educatn systm is goin?,ohhh! that is bad... god knows where our education system is going?
I think your roomie is trying to tell you something ... but u r not taking the hint !,I think your roomate is trying to tell you something. but you are not taking the hint!
"@tweeting_pal hota hai, kabhi kabhi","@tweeting_pal It happens, at times."
bahut zor ka laga :(,hit me very hard
Ghar chale jao abhi vapas #bangldesh 0 Totally 1 sided series it is 0 Dekhke maza nhi aara hai #vijay #pujara @imVkohli gt a 200 again #IndvBan,go back home #bangldesh .it is totally one sided series. i don't like watching it #vijay #pujara @imVkohli got a 200 again #IndvBan
@akshaykanitkar aaj ki party teri taraf se @DMishraa,@akshaykanitkar today is your party @DMishraa
@MeetUunngLee daal de bhai. Aur jab tu doosri baar aayega tab bhi bana lena,@MeetUunngLee put it now. also make one again when you come for the second time.
@YouDontKnowWho_ naam se hi lag raha tha bhai. I'm more shocked ki tu bhi aisi films dekhta hai.,@YouDontKnowWho_ it can be interpreted from the name brother. i’m more shocked that you also watch such films.
@Pyyar_se_Michel Namaz ke time to ap snooker khelne chale jate ho aur AllaH rasool ki baatein ... ðŸ˜ðŸ˜•ðŸ˜‘ðŸ™…,@Pyaar_se_Michel at the time of namaz you go to play snooker and are talking about prophet…..
bhai kehna kya chahte ho? tumhare hisab se log RaGa ko vote den? ya kejriwal ko?https://twitter.com/HartoshSinghBal/status/859314350498095104 …,bro what do you want to say? according to you people would vote to RaGa? or to kejriwal? https://twitter.com/HartoshSinghBal/status/859314350498095104 …
@Singhlicious ye sach hai milord,"@Singhlicious This is the truth, My lord!"
"kya kiya tumko usne, ayye bhagwaan",oh god what did he do to you!
"List choti hi ho pr damdar hona chaiye War ""1947 bhul gaye kya . #SurgicalStrike ye to yaad hoga","List should be small but should be strong, did you forget 1947 war #SurgicalStrike this will be remembered"
"Bade ""woh"" ho tum piya, zidd kyu nahi chhodte?
What is ""Woh""",you are very “that” kind of person. why don’t you leave the argument. what is “that”
sabse pehle mera comment .  .  .  .  yeeeeee,yay! my comment is first!
"@makemytrip #DilKehtaHai
 Hawaon ke paron par ud jaon, 
 Registan ki garm mitti ko chhu kar pighal jaon.","@makemytrip #DilKehtaHai
 fly on the wings of the wind, 
 melt on touching the hot sand of the desert."
hey guys garbage bin: you are too close to reality and always reminds me my old days ,)
@Ibleed_sarcasm angrez chale gaye.. Inke chhod gaye @RichaMaddyBon @Prachiekins,@Ibleed_sarcasm the englishmen went. they left them @RichaMaddyBon @Prachiekins
@JatinKiDuniya koi nahi agli dekh le...,@JatinKiDuniya no worries watch the next one
@twinitisha tum aakar vishesh tippani na do. RT karo :-|,@twinitisha no one wants you to give your unique comments. retweet.
haan bahut pehle recording ki thi 4-5 episodes ki. Ussi ka last part hoga Maine bhi suna nahin.,yes the recording of four five episodes was done way back . it will be the last part of that. i also did not hear
bus contra aur mario hota tha !  :d,only contra and mario were there
arun lal: aur ye ek acchi sajhedari ban rahi hai india ke liye .  .  .,Arun Lal: And it is becoming a good partnership for India. . .
@lifelovesuma intezaar ka phal is sweet .. gangaa ke hot dreams se Accha hoga real romance ðŸ˜ðŸ˜ðŸ˜ðŸ˜,@lifelovesuma the fruit of patience is sweet ! real romance will be better than the hot dreams of ganga.
@LoKarDi_RT 2-4 aur de dete toh kya jaata?,@LoKarDi_ and if you would have given then what would you lose ?
yahoo ke live score se ,)
This is how we Indians Celebrated #slapday on 15-02-2015 #indvspak #CWC15 pakistaniyo tum se na ho payega .. :D,This is how we Indians Celebrated #slapday on 15-02-2015 #indvspak #CWC15 pakistans you wont be able to do it .. :D
i am a dudda and i'll leave at 21,i am a dude and i'll leave at 21
"@kazal1401 @KurkureSnacks Be chatpata this tayohaar
#whysosweet
#whysosweetcards http://bit.ly/1LRo6BC pic.twitter.com/pvyczpEajq","@kazal1401 @KurkureSnacks be piquant this festival #whysosweet
#whysosweetcards http://bit.ly/1LRo6BC pic.twitter.com/pvyczpEajq"
@ek_samosa_dena haha! Yahan koi nahi bolta!,@ek_samosa_dena haha! no one speaks here.
RT @SriSri : Our volunteers have taken up mission to clean & rejuvenate Nallagandla Lake . 6 truckloads of garbage were removed . ( 2 ) https://t .,RT @SriSri : Our volunteers have taken up mission to clean & rejuvenate Nallagandla Lake . 6 truckloads of garbage were removed . ( 2 ) https://t .
"@akhil_bits yeah, can gauge it from 0 response. Sirf mujhe hi aisi laundiya mili hai shayad.","@ Akhil_Bits Yeh, can gauge from 0 response. Only I have got such a lotus probably."
"@Being_Humor Woh 500 lekar usko wapas troll karna, bolna paise kam lag rahe the","@Being_Humor after taking 500 again troll him, say that money was looking less"
ye board pe konsi maths hai bhai  ?  :p,which maths is there on this board
"@Alllahdin Charger nahi tha. so gaya tha :""(","@Alllahdin i didn't have the charger, so i fell asleep."
Agar koi #SurgicalStrike ka credit Leta hai to Jawano ki Maut ka bhi credit Lena chahiye #BadlaLo,if someone is taking credit of the #SurgicalStrike then he should also take credit for the deaths of our soldiers #BadlaLo
@Shreela22 @InshaMalik_1 tu bhi bta de apna shree ,)
kuch bhi ho sakta hai :),anything can happen 
Toss bhi humne jita tha match bhi hum hi jitenge or world cup bhi hum hi jitenge #IndvsPak #IndWins #BleedBlue,"We won the toss, too. We will also win the match and will also win the world cup."
@the_queeness tumhe bulate bhi hai Kya meeting main ?,@the_queeness Are you even invited in the meeting?
@Atheist_Krishna Kaash meri bhi @LaliJogan37 jaisi teacher hoti @Sinceere_Angel,@Atheist_Krishna i wish i had a teacher like @LaliJogan37  @Sinceere_Angel
Hamara faisla hai ise Kala Pani ki saza di jaayehttps://twitter.com/ndtvindia/status/674091304901480448 …,This is my decision that he should be send to kala pani for punishment https://twitter.com/ndtvindia/status/674091304901480448 …
Matlab yahan par apni behen ko kyu ghusana hai? https://twitter.com/pigeonladyX/status/753245590767665153 …,meaning why do your sister have to enter here? http: //twitter.com/pizonnalyx/states/753245590767665153…
Gangaa ka dheeraj tu Himalay ka seena hai .. Sone chaandi se bhi keemti .. tera ye paseena hai ! Come back Maahiyaa #Dhoni,Gangaa ka dheeraj tu Himalay ka seena hai .. Sone chaandi se bhi keemti .. tera ye paseena hai ! Come back Maahiyaa #Dhoni
Lord Ram never said Bharat Mata ki Jai. Because Kaikeyi sent him on a 14 year vanvaas.,lord rama never said 'salutations to the mother land' because kaikeyi sent him on a 14 year exile.
"smashing melons ain't my thingrt @someUSER okay ,  noel gallagher is playing in louisville on november 4th .  who's going with me ?","smashing melons is not my thing rt @someUSER okay ,  noel gallagher is playing in louisville on november 4th .  who's going with me ?"
"Bas ek ladki dhundni hai bhai, phir jald hi",as soon as i find a proper girl
public-city ke liye kuch bhi karega,the public will do anything for the city 
@Matchify Ans 9 jhootha khane se pyaar badhta hai #SingleNoMore,@Matchify eating one other's eaten food  strengthens love #SingleNoMore
@Vyomnaut sahi kaha.. Mujhe to jhoota case lagta hai,"@Vyomnaut well said, I think the case was a fraud."
victor cruz is happy about his contract negotiations with the giants .tuesday on his weekl http/URL,victor cruz is happy about his contract negotiations with the giants .tuesday on his week
insaniyat ke naam par kalank .,stain on the name of humanity.
Dil cheez kya hai aap mera kutta pehle lijiye.,"Forget heart, take my dog first."
I wish Aallaahh apko hmesha kush rkhe Salamat rkhe....love u,i wish that allah always keeps you happy and protects you. love you.
@akshaykanitkar Driver aaya hai ?,@akshaykanitkar has the driver come?
"these lil girls singing  "" birthday cake ""   .  .  .  .  . girl it was yo 10th birthday the other day smh lol","These little girls singing  "" birthday cake "". Girl it was your tenth birthday the other day. shaking my head, laughing out loud."
meri purani hai @integrated_me isse door rahiyo,Its old @integrated_me please keep distance.
"@HashtagAman Mood theek rakheen apna, hatthh jodke ahee ardaas hai tainnu","@HashtagAman keep your mood well, this is my humble request to you."
Mein woh kaam karta hu jiski izazat sarkaar nahi deti.. Wo nahi jiski izazat mera zameer nahi deta.. https://twitter.com/twinitisha/status/733614304017014784 …,i do things that the government does not allow but not those that my conscience doesn't.
"Ye naya bhikari kaun hai @KaminaPun ? Attention lene aa gaya

@witchybitchygal @drmalvika6","who is this new beggar? @KaminaPun come here to get attention.

@witchybitchygal @drmalvika6"
"naya hai, try karo Mishraji","This is new, try it Mishraji."
Mahashivratri ki hardik shubkamnayein ! Shiva the Adiyogi ' The grace of meditation . #TheBlissfulPeace Om ! Om ! Om Namah Shivaya :),hearty congratulation for Mahashivratri ! Shiva the first yogi. The grace of meditation . #TheBlissfulPeace salutations to Lord Shiva
@EngineeRoholic so ja bhai tu,"@EngineeRoholic brother, go to sleep."
@angryoungwoman Mujhe to iski baat bilkul galat nahi lagi  @iMathemagician,@angryoungwoman i didn't feel his point was wrong  @iMathemagician
Bhai @Its_Badshah ko challenge kar diya? Abhi toh party shuru hui hai! #ChallengeForBadshahhttps://twitter.com/MissMalini/status/717263941269762048 …,brother he has challenged @Its_Badshah? now the party has started #ChallengeForBadshahhttps://twitter.com/MissMalini/status/717263941269762048 …
